id,pid,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,land_slope,condition_1,bldg_type,overall_qual,overall_cond,year_built,year_remod/add,roof_style,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,porches,baths,lot,overall,sq_ft,logsaleprice,ms_subclass_1-1/2_story_pud_-_all_ages,ms_subclass_1-1/2_story_unfinished_all_ages,ms_subclass_1-story_1945_older,ms_subclass_1-story_1946_newer_all_styles,ms_subclass_1-story_finished_attic_all_ages,ms_subclass_1-story_pud_(planned_unit_development)_-_1946_newer,ms_subclass_2_family_conversion_-_all_styles_and_ages,ms_subclass_2-1/2_story_all_ages,ms_subclass_2-story_1945_older,ms_subclass_2-story_1946_newer,ms_subclass_2-story_pud_-_1946_newer,ms_subclass_duplex_-_all_styles_and_ages,ms_subclass_pud_-_multilevel_-_incl_split_lev/foyer,ms_subclass_split_foyer,ms_subclass_split_or_multi-level,lot_config_culdsac,lot_config_fr2,lot_config_fr3,lot_config_inside,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_noridge,neighborhood_npkvill,neighborhood_nridght,neighborhood_nwames,neighborhood_oldtown,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_swisu,neighborhood_timber,neighborhood_veenker,condition_2_feedr,condition_2_norm,condition_2_posa,condition_2_posn,condition_2_rrae,condition_2_rran,condition_2_rrnn,house_style_1.5unf,house_style_1story,house_style_2.5fin,house_style_2.5unf,house_style_2story,house_style_sfoyer,house_style_slvl,roof_matl_membran,roof_matl_tar&grv,roof_matl_wdshake,roof_matl_wdshngl,exterior_1st_asphshn,exterior_1st_brkcomm,exterior_1st_brkface,exterior_1st_cblock,exterior_1st_cemntbd,exterior_1st_hdboard,exterior_1st_imstucc,exterior_1st_metalsd,exterior_1st_plywood,exterior_1st_stone,exterior_1st_stucco,exterior_1st_vinylsd,exterior_1st_wd_sdng,exterior_1st_wdshing,exterior_2nd_asphshn,exterior_2nd_brk_cmn,exterior_2nd_brkface,exterior_2nd_cblock,exterior_2nd_cmentbd,exterior_2nd_hdboard,exterior_2nd_imstucc,exterior_2nd_metalsd,exterior_2nd_plywood,exterior_2nd_stone,exterior_2nd_stucco,exterior_2nd_vinylsd,exterior_2nd_wd_sdng,exterior_2nd_wd_shng,bsmtfin_type_1_blq,bsmtfin_type_1_glq,bsmtfin_type_1_lwq,bsmtfin_type_1_na,bsmtfin_type_1_rec,bsmtfin_type_1_unf,central_air_y,garage_type_attchd,garage_type_basment,garage_type_builtin,garage_type_carport,garage_type_detchd,garage_type_na
1044,527451290,rm,21.0,1680,pave,na,reg,lvl,allpub,gtl,norm,twnhs,1.791759469228055,5,1971,1971,gable,brkface,5.44673737166631,3,3,cblock,3,3,no,5.958424693029783,unf,0.0,96.0,483.0,gasa,3,sbrkr,6.180016653652572,504,0,6.894670039433483,0.0,0.0,1,1,2,1,3,4,typ,0,0,1971.0,unf,1.0,264.0,3,3,y,0,0.0,0,0,0,0,0,na,na,0,7,2008,cod,85400,0,1,35280.0,30,0.0,11.35510137977666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2752,906380150,rl,64.0,7488,pave,na,ir1,lvl,allpub,gtl,norm,1fam,1.9459101490553128,5,2005,2005,gable,none,0.0,4,3,pconc,4,3,av,5.973809611869261,unf,0.0,815.0,1208.0,gasa,5,sbrkr,7.0967213784947605,0,0,7.0967213784947605,0.0,0.0,2,0,2,1,4,6,typ,0,0,2005.0,rfn,2.0,632.0,3,3,y,105,4.060443010546419,0,0,0,0,0,na,na,0,2,2006,wd ,183600,6090,0,479232.0,35,0.0,12.120514757168527,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
807,906226060,rl,120.0,26400,pave,na,reg,bnk,allpub,gtl,feedr,1fam,1.6094379124341005,7,1880,2007,gable,none,0.0,4,3,pconc,0,0,na,0.0,na,0.0,0.0,0.0,gasa,5,sbrkr,7.1608459066642975,728,0,7.6088706291912604,0.0,0.0,1,0,4,1,3,7,mod,1,3,1900.0,unf,2.0,576.0,3,3,p,0,0.0,0,0,0,0,0,na,na,0,6,2009,wd ,131000,0,0,3168000.0,35,0.0,11.782952602183288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
1177,533236070,fv,24.0,2645,pave,pave,reg,lvl,allpub,gtl,norm,twnhs,2.0794415416798357,5,1999,2000,gable,brkface,6.1224928095143865,4,3,pconc,4,3,no,6.700731109547808,unf,0.0,147.0,960.0,gasa,5,sbrkr,6.8690144506657065,645,0,7.382124365737512,1.0,0.0,2,1,3,1,4,7,typ,0,0,2000.0,unf,2.0,480.0,3,3,y,169,0.0,0,0,0,0,0,na,na,0,12,2008,conld,200000,0,2,63480.0,40,0.0,12.206072645530176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1480,907418040,rl,74.0,9627,pave,na,reg,lvl,allpub,gtl,norm,1fam,1.9459101490553128,5,2007,2007,gable,none,0.0,4,3,pconc,4,3,av,3.1780538303479458,unf,0.0,1327.0,1351.0,gasa,5,sbrkr,7.215975002651466,0,0,7.215975002651466,0.0,0.0,2,0,3,1,4,6,typ,0,0,2007.0,rfn,2.0,610.0,3,3,y,0,3.912023005428147,0,0,0,0,0,na,na,0,6,2008,wd ,193000,0,0,712398.0,35,0.0,12.170445467887022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
324,923202105,rl,93.0,10114,pave,na,reg,lvl,allpub,gtl,norm,1fam,1.6094379124341005,5,2004,2005,gable,none,0.0,3,3,pconc,5,3,av,0.0,unf,0.0,1430.0,1430.0,gasa,5,sbrkr,7.265429723253952,0,0,7.265429723253952,0.0,0.0,2,0,3,1,4,7,typ,0,0,2004.0,rfn,2.0,624.0,3,3,y,0,0.0,0,0,0,0,0,na,na,0,3,2010,wd ,173500,0,0,940602.0,25,0.0,12.063932878369052,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1311,902301140,rm,34.0,4571,pave,grvl,reg,lvl,allpub,gtl,norm,1fam,1.6094379124341005,5,1916,1950,gable,none,0.0,3,3,brktil,3,3,no,0.0,unf,0.0,624.0,624.0,gasa,2,sbrkr,6.436150368369428,720,0,7.203405521083095,0.0,0.0,1,0,4,1,3,7,typ,0,0,1916.0,unf,3.0,513.0,2,2,y,0,0.0,96,0,0,0,0,na,na,0,5,2008,cod,98000,0,0,155414.0,25,0.0,11.492722757652713,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
770,905101490,rl,80.0,8816,pave,na,reg,lvl,allpub,gtl,feedr,1fam,1.6094379124341005,6,1963,1963,gable,none,0.0,3,3,pconc,3,3,no,6.478509642208568,unf,0.0,470.0,1121.0,gasa,3,sbrkr,7.021976423072162,0,0,7.021976423072162,1.0,0.0,1,0,3,1,3,5,typ,0,0,1963.0,unf,2.0,480.0,3,3,y,0,4.382026634673881,0,0,0,0,0,mnprv,na,0,6,2009,wd ,139000,0,0,705280.0,30,0.0,11.842229212112827,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2063,905107140,rl,71.0,8197,pave,na,reg,lvl,allpub,gtl,norm,1fam,1.791759469228055,5,1977,1977,gable,brkface,4.997212273764115,3,3,cblock,3,3,no,0.0,unf,0.0,660.0,660.0,gasa,5,sbrkr,7.158513997329321,0,0,7.158513997329321,0.0,0.0,1,1,3,1,3,7,typ,1,3,1977.0,rfn,2.0,528.0,3,3,y,138,0.0,0,0,0,0,0,mnprv,na,0,4,2007,wd ,143500,0,1,581987.0,30,0.0,11.874090314181814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
69,528458070,fv,72.0,8640,pave,na,reg,lvl,allpub,gtl,norm,1fam,1.9459101490553128,5,2009,2009,gable,none,0.0,3,3,pconc,4,3,mn,3.1780538303479458,unf,0.0,732.0,756.0,gasa,5,sbrkr,6.6385677891665225,783,0,7.344072850573068,0.0,0.0,2,1,3,1,4,7,typ,0,0,2009.0,unf,2.0,614.0,3,3,y,169,3.80666248977032,0,0,0,0,0,na,na,0,6,2010,con,215200,7605,2,622080.0,35,0.0,12.279323107269766,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2062,905106150,rl,109.0,8724,pave,na,reg,lvl,allpub,gtl,norm,1fam,1.6094379124341005,5,1968,1968,gable,none,0.0,3,3,cblock,4,3,no,6.198478716492307,unf,0.0,402.0,894.0,gasa,4,sbrkr,6.795705775173514,0,0,6.795705775173514,0.0,0.0,1,0,3,1,3,5,typ,1,1,1968.0,fin,2.0,450.0,3,3,y,0,0.0,0,0,0,0,0,na,na,0,5,2007,wd ,129000,0,0,950916.0,25,0.0,11.767567683343813,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
351,527131030,rl,40.0,5664,pave,na,ir1,lvl,allpub,gtl,norm,twnhse,2.0794415416798357,5,2000,2000,gable,none,0.0,4,3,pconc,4,3,no,7.05444965813294,unf,0.0,343.0,1501.0,gasa,5,sbrkr,7.413970290190443,0,0,7.413970290190443,1.0,0.0,2,0,2,1,5,5,typ,1,5,2000.0,fin,2.0,499.0,3,3,y,212,4.07753744390572,0,0,0,0,0,na,na,0,10,2009,wd ,278000,12508,0,226560.0,40,0.0,12.535376392672775,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
